checkpoint,cutoff,rmse_per_acre,mae_per_acre,rmse_total,mae_total,val_rmse_per_acre,n_samples,look_back,learning_rate,lstm_units,dropout,batch_size
Early,06-15,3.9457481134830417,3.0484227381945277,27.762130379867365,10.225149455086699,3.362991652684481,1744,3,0.001,"(32, 32)",0.2,128
Mid,07-15,3.8853287887035286,3.0339720696052557,18.74273029282126,7.481327793710327,3.7998580989147803,3323,3,0.001,"(32, 32)",0.2,128
Late,08-15,4.16679922850496,3.209398301580359,26.816657675953113,10.603446928836595,3.9405409045715345,5752,3,0.001,"(32, 32)",0.2,128
Pre_harvest,09-15,4.3065412761673185,3.322915408371517,27.358397193912392,10.776232316548366,4.151049916913765,8247,3,0.001,"(32, 32)",0.2,128
Full_season,all,4.305116062157301,3.3017298734183624,27.422710164705748,10.674869062785877,4.090472615474704,8247,3,0.001,"(32, 32)",0.2,128
